Word,Count
*,953
,302
in,230
the,228
this,217
change,199
choose,198
template,198
To,198
and,161
|,160
Diarsid,156
@author,120
open,102
Headers,99
License,99
\file,\,99
Project,99
Tools,99
editor,99
Properties,99
license,99
Templates,99
\header,\,99
to,98
is,54
time,53
it,39
Beam,38
project:,36
author:,36
of,31
be,30
if,30
no,29
that,28
there,27
for,26
all,25
program,25
If,24
with,24
or,23
are,23
by,21
Methods,21
close,20
Fields,20
not,20
tasks,19
return,18
been,18
task,17
execution,17
was,17
operation,16
has,16
============================================================================,16
-,16
=============================================================================,16
Constructors,16
It,15
method,15
output,14
will,14
them,14
=======================================================================,14
pattern:,13
means,13
performed,13
into,12
},12
stop,12
command,12
resources,12
database,12
do,12
update,11
main,11
methods,11
new,11
than,10
should,10
fails,10
SQLException,10
but,10
current,10
\rollback,\,10
get,10
rethrow,10
:,10
make,10
which,10
show,9
=,9
given,9
used,9
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯,9
specified,9
input,9
active,9
properly,9
________________________________________________________________________________________,9
have,9
Execute,8
can,8
set,8
when,8
longer,7
program`s,7
format:,7
other,7
external,7
it's,7
only,7
+,7
string,7
from,7
future,6
after,6
system,6
indicate,6
save,6
format,6
MIN,6
it`s,6
lag,6
chars,6
through,6
//,6
value,6
class,6
its,6
between,6
hourly,6
name,6
specifies,6
loop,6
object,6
while,6
table,6
just,6
PreparedStatement,6
rows,6
RMI,5
JavaFX,5
delimiter,5
int,5
a,5
connection,5
work,5
parameters,5
Is,5
+----------+------------+-----------------+------------------------------+----------------+------------------+---------------+,5
use,5
during,5
represented,5
text,5
implied,5
permitted,5
DB,5
about,5
objects,5
Statement,5
first,5
SQL,5
Interface,5
hour,4
Used,4
hours,4
necessary,4
+------------+------------+--------------+,4
\"\"\\,4
whether,4
timer,4
configuration,4
days,4
day,4
expired,4
ExternalIOInterface,4
actual,4
\inactive,\,4
\tasks,\,4
->,4
does,4
comes,4
/,4
@Override,4
they,4
one,4
Table,4
perform,4
later,4
any,4
corrected,4
as,4
exists,4
\day,\,4
corresponding,4
using,4
list,4
Statements,4
\minutes,\,3
implements,3
locations,3
contained,3
again,3
this.ioEngine.resolveVariantsWithExternalIO(,3
'.',3
postponed,3
responsible,3
added,3
several,3
mustBeFuture,3
on,3
beginning,3
some,3
must,3
length,3
saved,3
entities,3
implemented,3
verified,3
Constructor,3
next,3
Defines,3
query,3
\task,\,3
\System.out.println("\[DAO\,3
commit,3
particular,3
like,3
operations,3
static,3
information,3
watch,3
daily,3
according,3
see,3
stored,3
\System.out.println("\[TRANSACTION]\,3
auto,3
creation,3
\"\\,3
past,3
HH:MM,3
pause,3
file,3
[location],3
default,3
user,3
String,3
remote,3
\"\:"\\,3
describes,3
defines,3
description,3
month,3
occured,3
\"\There\,3
status,3
\"\);\,3
TRUE,3
try,3
{,3
task`s,3
ResultSets,3
parsed,3
+---------------------------------------------------------------------------------+,3
so,3
Method,3
[program],3
sequence,3
ResultSet,3
until,3
impossible,3
\changes,\,2
ways,2
LocalDateTime.MIN,2
element,2
pool,2
\update,\,2
\hours,\,2
tasks],2
release,2
printing,2
nothing,2
scheduled,2
throw,2
Just,2
platform,2
strings,2
block,2
+--------------------------------------------------------------+,2
LocalDateTime,2
boolean,2
connect,2
locationPartLength,2
startArgs){,2
date,2
entered,2
location,2
package,2
reportInfo,2
coordinates,2
finishes,2
names:,2
connecting,2
formatted,2
usage,2
control,2
\scheduler,\,2
myProject,2
myFile.ext,2
GUI,2
concrete,2
target,2
commands,2
closing,2
NULL,2
placed,2
NetBe,2
initial,2
organizer,2
etc,2
logically,2
argument,2
center,2
represents,2
\events,\,2
\messages,\,2
xPath,2
invoked,2
further,2
yet,2
parameter,2
Terminates,2
previously,2
reseted,2
Param,2
text),2
\System.out.println("\[UPDATE\,2
implementation,2
attempt,2
TO,2
reading,2
\database,\,2
TEXT,2
behavior,2
different,2
screen,2
ConfigModule,2
earliest,2
implementations,2
idea,2
\errors,\,2
config.xml,2
illustration,2
error,2
port,2
where,2
starts,2
folder,2
failed,2
alarm,2
NetBeans.lnk,2
OS,2
now,2
Create,2
(ResultSets,2
