File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\Beam.java,57,33,28,0,10,0,14,65,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\BeamModulesDeclaration.java,74,50,25,1,15,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\entities\Location.java,103,55,39,15,14,0,34,165,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\entities\WebPage.java,117,87,60,25,19,0,11,41,0,0
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\entities\WebPagePlacement.java,25,10,7,0,6,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\exceptions\ModuleInitializationException.java,23,9,6,0,5,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\exceptions\ModuleInitializationOrderException.java,21,3,2,0,6,0,12,43,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\exceptions\NullDependencyInjectionException.java,20,7,4,0,4,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\exceptions\TemporaryCodeException.java,23,9,6,0,5,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\exceptions\WorkflowBrokenException.java,21,8,5,0,4,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\DataModule.java,31,14,13,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\ExecutorModule.java,48,26,25,0,13,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\IoInnerModule.java,36,14,13,0,10,0,12,61,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\IoModule.java,38,18,15,0,11,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\RmiModule.java,33,15,14,0,9,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\TaskManagerModule.java,35,18,16,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DaoCommands.java,25,9,8,0,8,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DaoIntellChoice.java,27,10,9,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DaoLocations.java,28,11,10,0,9,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DaoTasks.java,42,22,21,0,12,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DaoWebPages.java,49,24,20,0,17,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DataBase.java,23,8,7,0,7,0,8,27,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DataModuleWorker.java,100,74,44,7,17,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\DataModuleWorkerBuilder.java,45,26,18,1,8,0,11,45,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\HandledTransactSQLException.java,20,7,5,0,4,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\JdbcTransaction.java,77,16,12,0,11,0,50,256,5,31
